headline,summary,photo_link
Старомодный яблочный пирог,"Простой пряный яблочный пирог. В отличии от любимой шарлотки – с растительным маслом. Я использовала пополам оливковое и кокосовое. Но можно брать любое нерафинированное: виноградные косточки, авокадо, лен. Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/12/JPEG-image-D250A4928436-3-640x250.jpeg
Мидии и рапаны в томатном соусе с каперсами,"Самый частый отзыв – “они резиновые”. Самый частый мой ответ – “расскажу как готовить так, чтобы не резиновые”. Это нежнейший, легкоусваиваемый и очень полезный белок. Суперпредложение для вкусовых рецепторов и здоровья тоже, обожаю. Дано: 500 г рапанов, 500 г мяса мидий. Рапаны очистить (обязательно) – простым движением ножа отделить белое мясо от внутренностей, жесткой части-хобота внутри. Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/11/IMG_4658-640x250.jpg
Салат с камамбером,Проще простого. Быстрый ужин. Continue Reading →,http://spoon.com.ua/wp-content/uploads/2018/11/JPEG-image-4372617BC752-1-640x250.jpeg
Зеленые блины Ульяны,"Рецепты в блоге я придумываю сама, подсматриваю в книгах и (реже) онлайн и адаптирую их под сезон и регион. Ульяна, тебе спасибо за банановый хлеб палео (интерпретировала) и за эти блины. Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/11/photo-2-640x250.jpg
"Салат с огурцом, морковью, кинзой и кунжутным маслом",,http://spoon.com.ua/wp-content/uploads/2018/10/photo-3-640x250.jpg
Бабагануш и табуле,"Ряд ближневосточных блюд плотно вошли в меню и на кухни многих стран мира. Хумус, фалафель, таббуле, бабагануш – у арабской кухни   классно заимствовать не только идеи как готовить мяса или как себя вести с белым рисом, но и овощные и бобовые идеи. Они это делают потрясающие вкусно. Бабагануш этой осенью мой топ. Рецепт easy peasy – запечь + две добавки + взбить. Заменяет салат, закуски, отлично идет вместо хумуса (и не такой тяжелый, как бобовые). Удобный соус или дип для пикников и просто для разнообразия за столом в обед и на ужин. А табуле – идеальный зимний салат, когда овощей не так много, а простая зелень все еще доступна. Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/10/JPEG-image-5663F91400E4-3-640x250.jpeg
Стефано Антониолли в Il Decameron Clubhouse Odessa,"На прошлой неделе я вернулась из Одессы, где встречалась со Стефано Антониолли. С шефом у нас уже сложилась хорошая традиция встречаться раз в несколько лет и разговаривать о еде. Когда Стефано руководил кухнями Da Vinci Fish Club и Avalon, когда были F&F – Fish&Fusion и Food Forest в Relax Park Verholy. Теперь Стефано в Одессе, в Il Decameron Clubhouse Odessa. В этот раз мы говорили его родном регионе, об изменяющихся трендах в еде и о новом месте. Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/10/Screen-Shot-2018-10-04-at-12.34.31-PM-640x250.png
Овсяная каша с фундучным молочком,,http://spoon.com.ua/wp-content/uploads/2018/10/Attachment-1-640x250.jpeg
Трюфельная охота в Истрии,"Бывает такой отпуск, когда потом нужно отдыхать от отпуска и от впечатлений. Если коротко – сезон стартовал. Я ничего до этой почти поездки не знала про трюфели, кроме “чёрный” и “белый”. И кроме “Пьемонт” и “Истрия”. Растут, прячутся. Вкусно! Готовить люблю. Масло трюфельное- обожаю. В прошлый сентябрь мы поехали в Истрию, чтобы разобраться подробно. Привезли с собой свежих, консервированных и трюфельное масло.  Continue Reading →",http://spoon.com.ua/wp-content/uploads/2018/10/JPEG-image-5F8DD859ED13-1-640x250.jpeg
Белая рыба барбекю,,http://spoon.com.ua/wp-content/uploads/2018/09/JPEG-image-95791679B4D9-3-640x250.jpeg
